,name,salary_from,salary_to,salary_currency,area_name,published_at
2361,Веб-программист,,,,Санкт-Петербург,2022-12-12T13:21:40+0300
2362,Инженер технической поддержки (2 линия),120000.0,120000.0,RUR,Дмитров,2022-12-12T13:02:06+0300
2363,Web-developer / Веб-программист,,,,Воронеж,2022-12-12T13:35:08+0300
2364,Руководитель направления по защите персональных данных,,,,Москва,2022-12-12T17:13:49+0300
2365,Системный администратор,40000.0,60000.0,RUR,Ростов-на-Дону,2022-12-12T15:42:35+0300
2366,Мастер по ремонту холодильного оборудования,110000.0,120000.0,RUR,Омск,2022-12-12T13:32:29+0300
2367,Слесарь заготовительного участка,40000.0,50000.0,RUR,Мурманск,2022-12-12T16:27:29+0300
2368,Руководитель IT проектов,,,,Краснодар,2022-12-12T14:33:14+0300
2369,Программист 1С,50000.0,,RUR,Новосибирск,2022-12-12T12:03:50+0300
2370,Руководитель филиала IT-компании,100000.0,,RUR,Пермь,2022-12-12T17:15:34+0300
2371,Инженер-программист,,,,Москва,2022-12-12T14:20:10+0300
2372,Главный кредитный аналитик,40000.0,,RUR,Тамбов,2022-12-12T14:17:22+0300
2373,QA Specialist,,,,Минск,2022-12-12T17:15:50+0300
2374,Редактор-стилист (английский язык),,,,Москва,2022-12-12T13:13:43+0300
2375,Оператор станков с ЧПУ,50000.0,70000.0,RUR,Златоуст,2022-12-12T13:27:19+0300
2376,Станочник широкого профиля (Челябинская область),94000.0,100000.0,RUR,Кыштым,2022-12-12T15:12:44+0300
2377,Токарь-универсал,105000.0,130000.0,RUR,Новобатайск,2022-12-12T15:43:51+0300
2378,Системный администратор,30000.0,45000.0,RUR,Азов,2022-12-12T17:58:09+0300
2379,Технический специалист/Инженер по сервису,80000.0,,RUR,Москва,2022-12-12T12:16:39+0300
2380,Токарь-универсал,105000.0,130000.0,RUR,Балабаново,2022-12-12T15:43:47+0300
2381,Инженер-тестировщик,,,,Уфа,2022-12-12T12:51:56+0300
2382,Техник,50000.0,,RUR,Санкт-Петербург,2022-12-12T13:29:57+0300
2383,Инженер-программист (САПР),30000.0,,RUR,Борисоглебск,2022-12-12T16:13:09+0300
2384,Программист 1С,,,,Нижний Новгород,2022-12-12T14:50:10+0300
