,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Программист-стажер 1C,40000.0,50000.0,RUR,Хабаровск,2022-12-12T02:28:21+0300
1,Аналитик,,,,Москва,2022-12-12T01:06:32+0300
2,Оператор станков с ПУ,60000.0,120000.0,RUR,Екатеринбург,2022-12-12T05:35:39+0300
3,Графический дизайнер,40000.0,50000.0,RUR,Иркутск,2022-12-12T03:29:27+0300
4,Data Scientist (Computer Vision) / Junior,70000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
5,Web-программист,85000.0,,RUR,Хабаровск,2022-12-12T02:27:57+0300
6,Аналитик (Data science),,,,Хабаровск,2022-12-12T03:04:16+0300
7,Рабочий по комплексному обслуживанию зданий,24000.0,26000.0,RUR,Новокузнецк,2022-12-12T03:31:40+0300
8,Администратор 1C,,,,Красноярск,2022-12-12T05:12:52+0300
9,Инженер транспортных сетей связи,65000.0,,RUR,Владивосток,2022-12-12T04:28:52+0300
10,Специалист технической поддержки,,32000.0,RUR,Санкт-Петербург,2022-12-12T01:00:42+0300
11,Руководитель ИТ,,,,Хабаровск,2022-12-12T02:11:34+0300
12,Аналитик данных,,45000.0,RUR,Владивосток,2022-12-12T04:58:16+0300
13,Слесарь по обслуживанию и ремонту автомобилей,40000.0,,RUR,Улан-Удэ,2022-12-12T04:08:43+0300
14,Программист,60000.0,,RUR,Новосибирск,2022-12-12T04:52:26+0300
15,Фрезеровщик,50000.0,,RUR,Новосибирск,2022-12-12T04:37:16+0300
16,Оператор станков с программным управлением,,,,Барнаул,2022-12-12T03:58:10+0300
17,Специалист отдела технического обслуживания,45000.0,,RUR,Барнаул,2022-12-12T05:44:21+0300
18,Исполнительный директор,,,,Ижевск,2022-12-12T00:17:22+0300
19,Back-end разработчик,,,,Якутск,2022-12-12T05:14:16+0300
20,Программист,25000.0,,RUR,Новоалтайск,2022-12-12T04:57:18+0300
21,Системный администратор,55000.0,,RUR,Омск,2022-12-12T05:44:00+0300
22,Наладчик станков и манипуляторов с программным управлением,,,,Барнаул,2022-12-12T03:58:14+0300
23,Стажер по ремонту холодильников,60000.0,70000.0,RUR,Барнаул,2022-12-12T04:33:26+0300
24,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Спасск-Дальний,2022-12-12T05:55:45+0300
25,Технический специалист,,,,Алматы,2022-12-12T05:41:56+0300
26,Системный администратор,,,,Магадан,2022-12-12T01:50:53+0300
27,Заместитель начальника Управления цифровой трансформации,,,,Якутск,2022-12-12T04:23:15+0300
28,"Администратор сайта с навыками веб разработки, контент-менеджер",28000.0,,RUR,Барнаул,2022-12-12T05:17:37+0300
29,Сервисный инженер,55000.0,70000.0,RUR,Уссурийск,2022-12-12T02:51:57+0300
30,Senior/Middle PHP developer (remote),,300000.0,RUR,Москва,2022-12-12T03:36:45+0300
31,Токарь,53000.0,,RUR,Хабаровск,2022-12-12T03:21:59+0300
32,Инженер эксплуатации радиоподсистемы,63000.0,,RUR,Новосибирск,2022-12-12T04:29:11+0300
33,Техник по обслуживанию зданий,32428.0,40230.0,RUR,Улан-Удэ,2022-12-12T05:38:11+0300
34,Аналитик данных (Middle),90000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
35,Системный администратор (п. Краснообск),,,,Новосибирск,2022-12-12T05:09:47+0300
36,Наладчик КИПиА,42000.0,42000.0,RUR,Бердск,2022-12-12T04:19:09+0300
37,Механик по сельхоз машинам,50000.0,,RUR,Барнаул,2022-12-12T04:42:42+0300
38,Системный администратор,,,,Барнаул,2022-12-12T05:10:53+0300
39,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Благовещенск (Амурская область),2022-12-12T05:55:45+0300
40,Механик,207000.0,310000.0,KZT,Костанай,2022-12-12T05:43:01+0300
41,SMM-дизайнер (в офис),35000.0,100000.0,RUR,Ростов-на-Дону,2022-12-12T01:53:03+0300
42,Токарь-фрезеровщик,50000.0,,RUR,Красноярск,2022-12-12T04:39:51+0300
43,Специалист технической поддержки (начинающий специалист),,,,Усть-Каменогорск,2022-12-12T05:16:49+0300
44,Менеджер проекта,200000.0,1500000.0,KZT,Алматы,2022-12-12T00:11:40+0300
45,Системный инженер,50000.0,56000.0,RUR,Владивосток,2022-12-12T05:32:02+0300
46,Системный администратор,33000.0,33000.0,RUR,Владивосток,2022-12-12T03:20:10+0300
47,Механик обогатительной фабрики,150000.0,,RUR,Нерюнгри,2022-12-12T05:42:21+0300
48,Старший системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
49,Ведущий инженер (вторая линия поддержки),,,,Благовещенск (Амурская область),2022-12-12T03:16:39+0300
50,Системный администратор,,,,Усть-Кут,2022-12-12T03:57:37+0300
51,Инженер-программист 1 С,100000.0,,RUR,Томск,2022-12-12T04:51:21+0300
52,Консультант 1С,60000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
53,Инженер премиального холодильного оборудования,70000.0,120000.0,RUR,Санкт-Петербург,2022-12-12T00:35:02+0300
54,Оператор станков с ПУ,60000.0,90000.0,RUR,Омск,2022-12-12T05:43:54+0300
55,Data Engineer (Middle),100000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
56,Data Scientist (Computer Vision) / Middle,100000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
57,Инженер-программист 1С,,,,Новосибирск,2022-12-12T04:23:22+0300
58,Директор грузового сервиса (АТП),100000.0,,RUR,Благовещенск (Амурская область),2022-12-12T03:30:26+0300
59,Программист 1C,40000.0,100000.0,RUR,Чита,2022-12-12T04:12:17+0300
60,Программист-консультант 1C,80000.0,,RUR,Томск,2022-12-12T05:03:42+0300
61,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Арсеньев,2022-12-12T05:55:45+0300
62,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Находка,2022-12-12T05:55:45+0300
63,Ведущий инженер сетевых платформ,,,,Новосибирск,2022-12-12T04:17:36+0300
64,Исполнительный директор,,,,Киров (Кировская область),2022-12-12T00:17:24+0300
65,Начальника отдела информационно-технического обеспечения управления информационных технологий,,,,Нерюнгри,2022-12-12T05:30:56+0300
66,Менеджер проектов,60000.0,,RUR,Якутск,2022-12-12T04:39:54+0300
67,Электромонтер диспетчерского оборудования и телеавтоматики 5-6 разряда Службы эксплуатации СДТУ,31000.0,37000.0,RUR,Томск,2022-12-12T04:31:11+0300
68,Программист 1C,70000.0,115000.0,RUR,Бердск,2022-12-12T04:20:25+0300
69,Токарь 4 разряд в турбодизельный цех,,70000.0,RUR,Владивосток,2022-12-12T01:15:56+0300
70,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Врангель,2022-12-12T05:55:45+0300
71,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Лучегорск,2022-12-12T05:55:45+0300
72,Токарь-расточник,,,,Барнаул,2022-12-12T03:58:04+0300
73,Главный механик (г. Черепаново),,,,Новосибирск,2022-12-12T04:11:46+0300
74,Наладчик технологического оборудования (хлебное производство),30000.0,,RUR,Кемерово,2022-12-12T05:30:23+0300
75,Программист-разработчик 1С,65000.0,,RUR,Кемерово,2022-12-12T05:33:47+0300
76,Инженер - системотехник (Старший системный администратор),,,,Хабаровск,2022-12-12T05:57:21+0300
77,Системный аналитик 1С (Senior),125000.0,150000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
78,Токарь,35000.0,40000.0,RUR,Красноярск,2022-12-12T05:08:49+0300
79,QA Performance,,,,Санкт-Петербург,2022-12-12T05:51:52+0300
80,Токарь 6 разряда в турбодизельный цех,,80000.0,RUR,Владивосток,2022-12-12T01:17:34+0300
81,Программист 1C,80000.0,120000.0,RUR,Владивосток,2022-12-12T05:56:02+0300
82,Программист 1С,120000.0,,RUR,Хабаровск,2022-12-12T05:00:24+0300
83,Программист 1С,,,,Новосибирск,2022-12-12T04:31:30+0300
84,QA Performance,,,,Новосибирск,2022-12-12T05:50:45+0300
85,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Уссурийск,2022-12-12T05:55:45+0300
86,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Хабаровск,2022-12-12T05:55:45+0300
87,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Лесозаводск,2022-12-12T05:55:45+0300
88,"IOS Developer (Middle, Senior)",180000.0,450000.0,RUR,Москва,2022-12-12T00:49:03+0300
89,Начальник отдела автотранспортного обеспечения,,,,Иркутск,2022-12-12T04:54:58+0300
90,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Владивосток,2022-12-12T05:55:45+0300
91,Системный аналитик 1С (Middle),80000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
92,Контролёр торговых представителей,25000.0,,RUR,Орск,2022-12-12T04:59:47+0300
93,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Вяземский,2022-12-12T05:55:45+0300
94,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Дальнереченск,2022-12-12T05:55:45+0300
95,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Бикин,2022-12-12T05:55:45+0300
96,Механик по ремонту транспортных средств – водитель снегоболотохода,,,,Красноярск,2022-12-12T05:41:28+0300
97,Токарь,,,,Ангарск,2022-12-12T04:46:17+0300
98,Администратор систем унифицированных коммуникаций,,,,Новосибирск,2022-12-12T05:08:04+0300
99,Токарь,,,,Ванино,2022-12-12T04:19:19+0300
100,Руководитель направления системного анализа,,,,Новосибирск,2022-12-12T04:10:04+0300
101,Системный администратор,,,,Находка,2022-12-12T01:56:59+0300
102,Инженер-механик оборудования BAADER,,,,Владивосток,2022-12-12T02:34:55+0300
103,Веб-Программист Junior/Middle,,,,Ростов-на-Дону,2022-12-12T09:32:01+0300
104,Junior Java developer,400.0,600.0,USD,Алматы,2022-12-12T06:55:35+0300
105,Специалист по тестированию (Тестировщик),25000.0,25000.0,RUR,Казань,2022-12-12T09:27:40+0300
106,Программист-стажер 1C,30000.0,50000.0,RUR,Краснодар,2022-12-12T10:35:57+0300
107,Junior Manual QA engineer,,,,Пермь,2022-12-12T09:55:48+0300
108,Стажер-программист,30000.0,,RUR,Москва,2022-12-12T09:11:07+0300
109,Администратор GetCourse,40000.0,,RUR,Краснодар,2022-12-12T10:26:34+0300
110,Системный администратор,,,,Ташкент,2022-12-12T08:00:59+0300
111,Оператор лазерного станка СО2 без опыта,60000.0,130000.0,RUR,Москва,2022-12-12T08:07:06+0300
112,Разработчик C# (Junior),,,,Москва,2022-12-12T11:57:51+0300
113,"Программист 1С-стажер, удаленно",,40000.0,RUR,Красноярск,2022-12-12T11:04:42+0300
114,Начинающий Веб программист (Junior Web-разработчик),25000.0,70000.0,RUR,Саратов,2022-12-12T08:42:14+0300
115,Медицинский редактор,,,,Кемерово,2022-12-12T08:41:04+0300
116,Дизайнер интерьеров,500.0,1000.0,USD,Ташкент,2022-12-12T08:47:58+0300
117,Системный администратор,400000.0,,KZT,Астана,2022-12-12T06:52:42+0300
118,РНР-программист,90000.0,120000.0,RUR,Челябинск,2022-12-12T10:53:17+0300
119,Frontend-разработчик,,,,Челябинск,2022-12-12T10:51:43+0300
120,Системный администратор,40000.0,40000.0,RUR,Нижний Новгород,2022-12-12T11:34:40+0300
121,Research and strategy analyst,,,,Москва,2022-12-12T11:12:38+0300
122,HTML-верстальщик,800.0,1500.0,USD,Минск,2022-12-12T11:54:40+0300
123,Веб-дизайнер,,,,Красноярск,2022-12-12T08:38:31+0300
124,Дизайнер для социальных сетей (удалённо),,60000.0,RUR,Москва,2022-12-12T11:29:51+0300
125,SMM (СММ) специалист / Контент-менеджер,45000.0,,RUR,Челябинск,2022-12-12T07:17:35+0300
126,SMM-менеджер/копирайтер,40000.0,,RUR,Красноярск,2022-12-12T08:44:45+0300
127,Дизайнер,40000.0,45000.0,RUR,Москва,2022-12-12T11:25:56+0300
128,Project manager,90000.0,200000.0,RUR,Москва,2022-12-12T11:22:19+0300
129,Разработчик Python,,,,Владимир,2022-12-12T10:47:58+0300
130,Frontеnd-разработчик / верстальщик / веб-разработчик,35000.0,50000.0,RUR,Брянск,2022-12-12T10:49:13+0300
131,Графический дизайнер,50000.0,,RUR,Уфа,2022-12-12T11:02:10+0300
132,Тестировщик,,,,Новосибирск,2022-12-12T09:22:48+0300
133,Java developer,,,,Самара,2022-12-12T09:46:02+0300
134,Дизайнер СММ,35000.0,,RUR,Новосибирск,2022-12-12T11:21:11+0300
135,Младший аналитик данных,,,,Москва,2022-12-12T10:57:43+0300
136,Front-end разработчик,,,,Москва,2022-12-12T10:59:22+0300
137,Дизайнер интерьеров,50000.0,100000.0,RUR,Саратов,2022-12-12T11:48:49+0300
138,Фронтенд JS разработчик,50000.0,110000.0,RUR,Уфа,2022-12-12T10:40:28+0300
139,Аналитик SOC,,,,Москва,2022-12-12T11:45:40+0300
140,UX/UI дизайнер,,,,Минск,2022-12-12T11:04:58+0300
141,Бизнес-аналитик,,,,Москва,2022-12-12T11:45:25+0300
142,Frontend-разработчик,,,,Новосибирск,2022-12-12T10:56:07+0300
143,Дизайнер интерьеров,,,,Москва,2022-12-12T08:55:38+0300
144,Дизайнер интерьера,100000.0,250000.0,RUR,Москва,2022-12-12T09:52:33+0300
145,PHP-разработчик,70000.0,,RUR,Киров (Кировская область),2022-12-12T10:18:19+0300
146,Программист,80000.0,100000.0,RUR,Тюмень,2022-12-12T07:51:20+0300
147,Системный администратор (стажер),,,,Алматы,2022-12-12T10:35:00+0300
148,Художник-дизайнер,33000.0,35000.0,RUR,Ижевск,2022-12-12T08:36:29+0300
149,Системный администратор,48000.0,,RUR,Казань,2022-12-12T09:16:29+0300
150,Сетевой инженер,300000.0,600000.0,KZT,Шымкент,2022-12-12T08:36:01+0300
151,Тестировщик,,,,Тюмень,2022-12-12T08:37:14+0300
152,Middle frontend-разработчик (React),150000.0,250000.0,RUR,Томск,2022-12-12T11:19:29+0300
153,Сборщик ПК,50000.0,,RUR,Москва,2022-12-12T09:08:47+0300
154,Java-разработчик (middle/senior),,,,Москва,2022-12-12T11:22:33+0300
155,Вечерний Специалист службы технической поддержки (удаленно),15000.0,30000.0,RUR,Зеленоград,2022-12-12T09:47:52+0300
156,"Technical remote support engineer (2 line support, IT ServiceDesk Team)",,115000.0,RUR,Москва,2022-12-12T11:13:51+0300
157,Системный администратор,,200000.0,RUR,Москва,2022-12-12T11:28:38+0300
158,Специалист технической поддержки,85000.0,90000.0,RUR,Москва,2022-12-12T09:34:07+0300
159,Product Manager,,,,Москва,2022-12-12T11:57:30+0300
160,Тестировщик/QA Engineer (мобильное приложение),,,,Москва,2022-12-12T11:48:22+0300
161,Intern IT-Technology,,,,Ташкент,2022-12-12T08:26:43+0300
162,Графический дизайнер,20000.0,,RUR,Тюмень,2022-12-12T08:07:08+0300
163,Администратор вычислительной сети,,60850.0,RUR,Ярославль,2022-12-12T10:44:35+0300
164,"Корреспондент сетевого издания ""Тульские новости""",,,,Тула,2022-12-12T10:07:07+0300
165,Креативный дизайнер,,,,Москва,2022-12-12T08:56:28+0300
166,Оператор станков с ПУ,70000.0,,RUR,Екатеринбург,2022-12-12T09:10:10+0300
167,Помощник аналитика,60000.0,,RUR,Москва,2022-12-12T10:59:43+0300
168,Стажер-аналитик по направлению УР/КСО/ESG,,,,Москва,2022-12-12T09:30:06+0300
169,Программист,150000.0,200000.0,KZT,Павлодар,2022-12-12T08:44:25+0300
170,Доводчик-притирщик,60000.0,,RUR,Самара,2022-12-12T11:55:41+0300
171,React разработчик (middle/senior),,,,Москва,2022-12-12T07:30:41+0300
172,Системный администратор,,,,Казань,2022-12-12T10:13:21+0300
173,Системный администратор,200000.0,250000.0,KZT,Усть-Каменогорск,2022-12-12T07:51:06+0300
174,Специалист отдела технической поддержки,30000.0,70000.0,RUR,Уфа,2022-12-12T11:13:45+0300
175,Редактор внутренних коммуникаций,80000.0,,RUR,Новосибирск,2022-12-12T07:58:20+0300
176,"Управляющий директор / Розничное ценообразование (Управление ""Ипотечное кредитование"")",,,,Москва,2022-12-12T10:49:11+0300
177,"Analyst - Research & Insights, Banking",,,,Москва,2022-12-12T10:21:09+0300
178,Оператор станка лазерной резки металла,60000.0,,RUR,Красноярск,2022-12-12T06:53:05+0300
179,Дизайнер мягкой игрушки,,,,Саратов,2022-12-12T09:31:03+0300
180,HR-аналитик,100000.0,,RUR,Москва,2022-12-12T09:24:54+0300
181,Художник-иллюстратор обложек для YouTube,,,,Москва,2022-12-12T08:41:54+0300
182,Руководитель по e-commerce,,,,Алматы,2022-12-12T10:39:08+0300
183,Программист 1С,,,,Москва,2022-12-12T11:58:00+0300
184,Дизайнер инфографики,30000.0,,RUR,Алматы,2022-12-12T11:23:23+0300
185,IT Project Manager,,,,Санкт-Петербург,2022-12-12T10:56:54+0300
186,Технический специалист/инженер,60000.0,100000.0,RUR,Пермь,2022-12-12T08:54:04+0300
187,Графический дизайнер,50000.0,,RUR,Казань,2022-12-12T09:34:37+0300
188,Сетевой инженер,40000.0,,RUR,Ангарск,2022-12-12T10:49:27+0300
189,Дизайнер (специалист по верстке),50000.0,,RUR,Жуковский,2022-12-12T09:39:55+0300
190,React разработчик,,,,Москва,2022-12-12T10:14:12+0300
191,Программист,,,,Саратов,2022-12-12T11:09:17+0300
192,Киномеханик,36782.0,,RUR,Казань,2022-12-12T10:53:56+0300
193,Web-разработчик (Full-stack),,,,Пермь,2022-12-12T06:36:13+0300
194,QA engineer (Manual),,,,Москва,2022-12-12T10:16:57+0300
195,Специалист технической поддержки (1 линия),,,,Самара,2022-12-12T11:25:40+0300
196,Специалист IT отдела,,,,Ташкент,2022-12-12T11:27:14+0300
197,Специалист технической поддержки,45000.0,,RUR,Ярославль,2022-12-12T09:33:01+0300
198,Заправщик картриджей\Специалист по ремонту оргтехники,120000.0,180000.0,KZT,Караганда,2022-12-12T10:04:38+0300
199,Веб-программист,50000.0,,RUR,Саратов,2022-12-12T07:29:57+0300
200,Менеджер проектов,,,,Москва,2022-12-12T08:44:27+0300
201,Системный администратор,35000.0,55000.0,RUR,Смоленск,2022-12-12T07:09:18+0300
202,Графический дизайнер в офис,80000.0,,RUR,Москва,2022-12-12T09:36:06+0300
203,DB Specialist / Разработчик БД (Oracle/Postgresql),,,,Москва,2022-12-12T06:09:15+0300
204,Инженер-программист,80000.0,,RUR,Калуга,2022-12-12T11:47:54+0300
205,Специалист технической поддержки (1 линия),45000.0,45000.0,RUR,Москва,2022-12-12T11:13:44+0300
206,Руководитель проектов,,,,Москва,2022-12-12T11:58:16+0300
207,Оператор лазерного станка СО2 без опыта,60000.0,130000.0,RUR,Балашиха,2022-12-12T08:07:16+0300
208,Бизнес-аналитик,,,,Москва,2022-12-12T11:24:02+0300
209,Middle UX/UI дизайнер,,,,Санкт-Петербург,2022-12-12T09:53:29+0300
210,Системный администратор,,,,Санкт-Петербург,2022-12-12T11:34:10+0300
211,Механик,100000.0,110000.0,RUR,Санкт-Петербург,2022-12-12T08:01:26+0300
212,IT-специалист,250000.0,350000.0,KZT,Алматы,2022-12-12T08:55:36+0300
213,Преподаватель Программирования/Робототехники (Информатики),35000.0,45000.0,RUR,Новосибирск,2022-12-12T08:19:11+0300
214,Мастер по заправке картриджей и ремонту оргтехники,40000.0,60000.0,RUR,Екатеринбург,2022-12-12T08:07:17+0300
215,Бизнес-аналитик,,80500.0,RUR,Самара,2022-12-12T09:17:54+0300
216,Менеджер проекта,40000.0,,RUR,Киров (Кировская область),2022-12-12T11:22:21+0300
217,Системный администратор,35000.0,45000.0,RUR,Саратов,2022-12-12T07:29:03+0300
218,Системный аналитик,60000.0,,RUR,Рязань,2022-12-12T10:29:23+0300
219,"Admin Bitrix24 | Администратор Битрикс24, удалённо",50000.0,,RUR,Москва,2022-12-12T08:47:10+0300
220,Ручной тестировщик,,,,Ижевск,2022-12-12T11:58:09+0300
221,Младший методолог/бизнес-аналитик,,,,Москва,2022-12-12T10:26:58+0300
222,Аналитик по выявлению случаев мошенничества,48000.0,,RUR,Казань,2022-12-12T11:31:00+0300
223,Аналитик Данных (core команда),,,,Москва,2022-12-12T08:09:16+0300
224,Технический писатель,,,,Санкт-Петербург,2022-12-12T10:08:04+0300
225,Digital Designer,,200000.0,RUR,Москва,2022-12-12T11:30:59+0300
226,Оператор станка с ЧПУ (лазер),50000.0,,RUR,Челябинск,2022-12-12T08:50:50+0300
227,Координатор проекта,,,,Ташкент,2022-12-12T11:21:50+0300
228,Инженер по сопровождению ПО,40000.0,,RUR,Казань,2022-12-12T09:21:00+0300
229,Системный инженер,400000.0,500000.0,KZT,Астана,2022-12-12T09:23:51+0300
230,Специалист по 1С (Удаленно),,90000.0,RUR,Красноярск,2022-12-12T08:35:04+0300
231,Токарь,55000.0,,RUR,Воронеж,2022-12-12T11:02:10+0300
232,Графический дизайнер,50000.0,60000.0,RUR,Москва,2022-12-12T10:19:44+0300
233,Главный механик,110000.0,110000.0,RUR,Краснодар,2022-12-12T11:41:40+0300
234,"Инженер информационных технологий, связи и защиты информации",,80000.0,RUR,Новый Уренгой,2022-12-12T11:51:13+0300
235,Тестировщик в команду поиска,,,,Москва,2022-12-12T11:01:14+0300
236,Менеджер операционного планирования,45000.0,,RUR,Нижний Новгород,2022-12-12T11:53:07+0300
237,Senior frontend-разработчик,,,,Москва,2022-12-12T10:52:14+0300
238,Программист-стажер,20000.0,40000.0,RUR,Белгород,2022-12-12T10:20:45+0300
239,Специалист технической поддержки,30000.0,70000.0,RUR,Уфа,2022-12-12T11:13:41+0300
240,Мастер СТО,100000.0,,RUR,Санкт-Петербург,2022-12-12T11:50:54+0300
241,Аналитик,,,,Самара,2022-12-12T09:46:02+0300
242,Помощник программиста,,,,Кемерово,2022-12-12T08:00:00+0300
243,Senior-копирайтер,,,,Москва,2022-12-12T09:46:51+0300
244,HTML-верстальщик,720.0,1350.0,USD,Гомель,2022-12-12T11:54:36+0300
245,Специалист сопровождения информационных систем (Специалист технической поддержки),,,,Самара,2022-12-12T09:17:17+0300
246,Backend разработчик (Node.js/Nest.js),280000.0,370000.0,KZT,Алматы,2022-12-12T10:41:09+0300
247,Менеджер по сопровождению проектов,,,,Красногорск,2022-12-12T09:38:05+0300
248,Техник абонентской группы,26000.0,33000.0,RUR,Уфа,2022-12-12T07:44:21+0300
249,Оператор шлифовальных станков,55000.0,,RUR,Самара,2022-12-12T11:55:19+0300
250,Директор по информационным технологиям,,,,Уфа,2022-12-12T09:33:55+0300
251,Руководитель направления технического развития,,,,Москва,2022-12-12T11:32:56+0300
252,Бизнес-аналитик,,,,Симферополь,2022-12-12T08:07:50+0300
253,Программист С/С++ (1430),100000.0,,RUR,Москва,2022-12-12T10:26:00+0300
254,Менеджер проектов,40000.0,,RUR,Москва,2022-12-12T11:43:03+0300
255,Графический дизайнер,,,,Самара,2022-12-12T09:42:43+0300
256,Руководитель проекта,,,,Волгоград,2022-12-12T09:03:00+0300
257,Web-разработчик / Full-stack разработчик,,,,Могилев,2022-12-12T10:49:43+0300
258,Дизайнер интерьеров,70000.0,,RUR,Екатеринбург,2022-12-12T10:42:18+0300
259,Маркетолог со свободным владением английским языком,80000.0,,RUR,Москва,2022-12-12T08:04:59+0300
260,Бизнес-аналитик,,,,Казань,2022-12-12T09:50:16+0300
261,Программист 1С,50000.0,,RUR,Самара,2022-12-12T08:25:10+0300
262,Инженер по слаботочным системам,120000.0,140000.0,RUR,Москва,2022-12-12T09:11:06+0300
263,Проектировщик интерфейсов / UX-дизайнер,,,,Санкт-Петербург,2022-12-12T10:23:06+0300
264,Программист Golang (СУБД),,,,Москва,2022-12-12T11:48:22+0300
265,Менеджер (по сопровождению информационных систем),200000.0,,KZT,Астана,2022-12-12T11:41:23+0300
266,Системный аналитик,,,,Москва,2022-12-12T09:57:17+0300
267,Мастер по обслуживанию абонентов (Краснослободск),35000.0,,RUR,Краснослободск (Республика Мордовия),2022-12-12T06:44:10+0300
268,Ведущий специалист по защите информации (3),85000.0,,RUR,Москва,2022-12-12T10:50:05+0300
269,Специалист по поддержке бизнес-приложений,40000.0,,RUR,Рязань,2022-12-12T10:29:36+0300
270,Системный администратор,40000.0,40000.0,RUR,Челябинск,2022-12-12T10:50:28+0300
271,Разработчик С++ (Network),100000.0,,RUR,Москва,2022-12-12T11:26:59+0300
272,Программист,50000.0,,RUR,Самара,2022-12-12T10:50:18+0300
273,Системный аналитик (возможна удаленка),,,,Санкт-Петербург,2022-12-12T09:55:07+0300
274,Системный аналитик,,,,Москва,2022-12-12T10:23:26+0300
275,Аналитик BI,,,,Москва,2022-12-12T11:27:14+0300
276,Системный администратор,35000.0,,RUR,Омск,2022-12-12T09:40:54+0300
277,Data Analyst\ Аналитик данных (Бизнес аналитик),,,,Алматы,2022-12-12T07:08:43+0300
278,Тестировщик web-приложений,,,,Санкт-Петербург,2022-12-12T11:58:10+0300
279,Контент-менеджер/Копирайтер,,,,Ижевск,2022-12-12T07:24:18+0300
280,Маркетолог-аналитик,40000.0,50000.0,RUR,Москва,2022-12-12T11:25:40+0300
281,Кредитный аналитик,65000.0,,RUR,Нижний Новгород,2022-12-12T09:11:54+0300
282,Дизайнер/Графический Дизайнер,150000.0,200000.0,KZT,Темиртау,2022-12-12T09:49:47+0300
283,Системный администратор,120000.0,,RUR,Ростов-на-Дону,2022-12-12T10:05:06+0300
284,Системный программист C++ / Go,140000.0,180000.0,RUR,Саратов,2022-12-12T08:42:01+0300
285,Механик,40000.0,60000.0,RUR,Самара,2022-12-12T08:08:55+0300
286,Инженер мониторинга сети,40000.0,,RUR,Новосибирск,2022-12-12T06:34:10+0300
287,Специалист по исследованию рынка,,,,Алматы,2022-12-12T07:25:50+0300
288,Системный аналитик (возможна удаленка),,,,Липецк,2022-12-12T09:54:57+0300
289,Ведущий специалист Отдела системного администрирования,,,,Москва,2022-12-12T09:54:04+0300
290,Наладчик станков с ЧПУ,92000.0,,RUR,Самара,2022-12-12T11:55:09+0300
291,Специалист по информационной безопасности (персональным данным),39000.0,42000.0,RUR,Сургут,2022-12-12T09:27:59+0300
292,Ученик токаря/фрезеровщика на горизонтально-расточной станок,1550.0,,BYR,Минск,2022-12-12T11:45:07+0300
293,Системный администратор/Специалист технической поддержки,70000.0,90000.0,RUR,Зеленоград,2022-12-12T09:21:14+0300
294,Системный аналитик,,,,Самара,2022-12-12T09:46:02+0300
295,Devops Junior (Tantor Labs),,,,Москва,2022-12-12T11:48:27+0300
296,Математик-криптограф,200000.0,280000.0,RUR,Зеленоград,2022-12-12T11:12:00+0300
297,Программист С#,,,,Санкт-Петербург,2022-12-12T09:20:06+0300
298,Ведущий программист C/C++,120000.0,229885.0,RUR,Москва,2022-12-12T11:44:57+0300
299,Заместитель начальника отдела городских перевозок (начальник гаража/автопарка),,100000.0,RUR,Москва,2022-12-12T09:42:18+0300
300,Ведущий аналитик,,,,Москва,2022-12-12T11:24:19+0300
301,"Инженер-математик, разработчик средств криптографической защиты информации (криптограф)",200000.0,500000.0,RUR,Москва,2022-12-12T11:12:00+0300
302,Специалист по БДД,110000.0,120000.0,RUR,Иркутск,2022-12-12T09:59:17+0300
303,Product Owner (Recommerce),,,,Москва,2022-12-12T08:41:19+0300
304,Senior Backend Developer / Java-разработчик,,,,Москва,2022-12-12T10:24:11+0300
305,Специалист IT отдела,40000.0,50000.0,RUR,Калининград,2022-12-12T11:47:32+0300
306,Программист 1C ERP,,,,Москва,2022-12-12T09:26:56+0300
307,Менеджер проектов,40000.0,55000.0,RUR,Самара,2022-12-12T11:20:12+0300
308,"Analyst - Research & Insights, Retail",,,,Москва,2022-12-12T10:20:11+0300
309,Программист 1С,50000.0,50000.0,RUR,Владимир,2022-12-12T10:59:56+0300
310,Программист Python,80000.0,130000.0,RUR,Санкт-Петербург,2022-12-12T06:50:29+0300
